Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.203572300,1,1,0,0
0.203613520,1,1,1,0
0.203621260,1,1,0,0
0.205046780,0,1,0,0
0.205055800,0,0,0,0
0.205092960,0,0,0,1
0.205108940,0,0,0,0
0.205516000,0,0,1,0
0.205523620,0,0,0,0
0.205564820,0,0,1,0
0.205572440,0,0,0,0
0.205613580,0,0,1,0
0.205621320,0,0,0,0
0.207046880,1,0,0,0
0.207055980,1,1,0,0
0.207092720,1,1,0,1
0.207108700,1,1,0,0
0.207515760,1,1,1,0
0.207523400,1,1,0,0
0.207564580,1,1,1,0
0.207572200,1,1,0,0
0.207613280,1,1,1,0
0.207621020,1,1,0,0
0.209046480,0,1,0,0
0.209055440,0,0,0,0
0.209092780,0,0,0,1
0.209108780,0,0,0,0
0.209515960,0,0,1,0
0.209523580,0,0,0,0
0.209524160,0,0,1,0
0.209524180,0,0,0,0
0.209564660,0,0,1,0
0.209572260,0,0,0,0
0.209613480,0,0,1,0
0.209621220,0,0,0,0
0.211058300,1,0,0,0
0.211067380,1,1,0,0
0.211104040,1,1,0,1
0.211120040,1,1,0,0
0.211527140,1,1,1,0
0.211534780,1,1,0,0
0.211575920,1,1,1,0
0.211583540,1,1,0,0
0.211624720,1,1,1,0
0.211632480,1,1,0,0
0.213057620,0,1,0,0
0.213066640,0,0,0,0
0.213103980,0,0,0,1
0.213119980,0,0,0,0
0.213527100,0,0,1,0
0.213534720,0,0,0,0
0.213575800,0,0,1,0
0.213583420,0,0,0,0
0.213624620,0,0,1,0
0.213632360,0,0,0,0
0.215058860,1,0,0,0
0.215067880,1,1,0,0
0.215104740,1,1,0,1
0.215120740,1,1,0,0
0.215527780,1,1,1,0
0.215535420,1,1,0,0
0.215576480,1,1,1,0
0.215584120,1,1,0,0
0.215625300,1,1,1,0
0.215633060,1,1,0,0
0.217058700,0,1,0,0
0.217067720,0,0,0,0
0.217105120,0,0,0,1
0.217121120,0,0,0,0
0.217535180,0,0,1,0
0.217542800,0,0,0,0
0.217583940,0,0,1,0
0.217591540,0,0,0,0
0.217632760,0,0,1,0
0.217640500,0,0,0,0
0.219057000,1,0,0,0
0.219066020,1,1,0,0
0.219102940,1,1,0,1
0.219118940,1,1,0,0
0.219526180,1,1,1,0
0.219533820,1,1,0,0
0.219575620,1,1,1,0
0.219583260,1,1,0,0
0.219623760,1,1,1,0
0.219631520,1,1,0,0
0.221057800,0,1,0,0
0.221066860,0,0,0,0
0.221109580,0,0,0,1
0.221125580,0,0,0,0
0.221532820,0,0,1,0
0.221540440,0,0,0,0
